FID,building,sky,tree,road,sidewalk,person,plant,car,signboard,awning,minibike,wall,earth,railing,streetlight,sculpture,fence,grass,ceiling,water,bridge,van,ashcan,chair,column,bicycle,mountain,skyscraper,windowpane,pier,bulletin board,lamp,booth,fountain,desk,lake,glass
10006,0.002613,0.335465,0.20854299999999998,0.324422,0.0,0.0,0.019738,0.0005549999999999999,0.001727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10288699999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10007,0.010449,0.22591799999999998,0.269793,0.16861700000000002,0.0,0.0,0.016793000000000002,0.0017579999999999998,0.0011480000000000001,0.0,0.0,0.0,0.0,0.0,0.000305,0.0,0.004281,0.197219,0.0,0.0,0.02216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10008,0.085926,0.43671899999999997,0.010875,0.29682,0.001605,0.0,0.0,0.066125,0.0069299999999999995,0.0,0.0,0.025715,0.0,0.052047,3.1e-05,0.0,0.002402,0.0,0.0,0.0,0.003793,0.00021099999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10009,0.424098,0.099359,0.02027,0.28182399999999996,0.01202,0.0,0.020055,0.057641,0.0,0.0,0.0,0.002043,0.0,0.0,5.1e-05,0.0,0.0,0.027433999999999997,0.0,0.0,0.0,0.001121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1001,0.216484,0.09764500000000001,0.16153900000000002,0.343484,0.002098,0.0,0.0,0.004816,0.0,0.0,0.0,0.0,0.0,0.0,0.000566,0.0,0.001934,0.0,0.0,0.0,0.0,0.07507799999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10010,0.35017600000000004,0.0,0.205738,0.294199,0.090121,0.002582,0.057184000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10011,0.575188,0.030961000000000002,0.010605,0.21674200000000002,0.0365,0.0,0.0,0.12377,0.002598,0.0,0.0,0.002945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10012,0.234359,0.001645,0.292195,0.0,0.0,0.0,0.322402,0.0,0.002457,0.0,0.0,0.000336,0.0,0.0,0.0,0.0,0.0,0.14660499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10013,0.452059,0.0061909999999999995,0.096609,0.340418,0.050973000000000004,8e-06,0.015453,0.026879000000000004,0.0006799999999999999,0.0,0.0,0.0,0.0,0.0,0.000125,0.0,0.006145,0.000867,0.0,0.0,0.0,0.0,0.0,0.001734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10014,0.27073400000000003,0.104625,0.115691,0.27502,0.0,0.000266,0.0,0.117125,0.0,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.039523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
